Unnamed: 0,review_text,text,review_rating,new_text,sent_difference,room,location,clean,service,value,other
0,"We stayed in a family loft which is two connecting rooms, one with a king and one with 2 doubles. Each has a bathroom. So perfect for our family of 5! The hotel and our room is very clean. The beds are so comfortable.  The front desk staff is amazing and provides us as much bottled water as we need. The supervisor Kima made sure we were comfortable and gave us an early check in which was so appreciated. The location is great, very easy to get anywhere we want. I would definitely stay here again!","We stayed family loft two connecting room, one king one 2 double. Each ha bathroom. So perfect We family 5! The hotel We room clean. The bed comfortable. The front desk staff amazing provides We much bottled water We need. The supervisor Kima made sure We comfortable gave We early check wa appreciated. The location great, easy get anywhere We want. I would definitely stay!",5,"We stayed in a family loft which is two connecting rooms, one with a king and one with 2 doubles. Each has a bathroom. So perfect for our family of 5! The hotel and our room is very clean. The beds are so comfortable. The front desk staff is amazing and provides us as much bottled water as we need. The supervisor Kima made sure we were comfortable and gave us an early check in which was so appreciated. The location is great, very easy to get anywhere we want. I would definitely stay here again!",FALSE,"We stayed in a family loft which is two connecting rooms, one with a king and one with 2 doubles. Each has a bathroom. The hotel and our room is very clean. The beds are so comfortable. The supervisor Kima made sure we were comfortable and gave us an early check in which was so appreciated. I would definitely stay here again!","The location is great, very easy to get anywhere we want.","The hotel and our room is very clean. The location is great, very easy to get anywhere we want.",The front desk staff is amazing and provides us as much bottled water as we need. The supervisor Kima made sure we were comfortable and gave us an early check in which was so appreciated.,The supervisor Kima made sure we were comfortable and gave us an early check in which was so appreciated.,So perfect for our family of 5!
1,"I just want to take a moment to say how wonderful Alex Martinez has been to me while staying at the Innside almost weekly through some of this pandemic.  Sweet as can be, makes sure I have water and a wake up time, even when i forget to ask.  He goes above and beyond for the customers and if you see him, please make sure to give him a big smile, he's got a fabulous one to that is always being shown!  Highly recommend this hotel and the fabulous Alex. Thank you for hiring such upbeat, personable hospitable staff to manage your locations!!","I want take moment say wonderful Alex Martinez ha staying Innside almost weekly pandemic. Sweet, make sure I water wake time, even forget ask. Alex Martinez go beyond customer see Alex Martinez, please make sure give Alex Martinez big smile, Alex Martinez's got fabulous one always shown! Highly recommend hotel fabulous Alex. Thank hiring upbeat, personable hospitable staff manage location!!",5,"I just want to take a moment to say how wonderful Alex Martinez has been to me while staying at the Innside almost weekly through some of this pandemic. Sweet as can be, makes sure I have water and a wake up time, even when i forget to ask. He goes above and beyond for the customers and if you see him, please make sure to give him a big smile, he's got a fabulous one to that is always being shown!  Highly recommend this hotel and the fabulous Alex. Thank you for hiring such upbeat, personable hospitable staff to manage your locations!!",FALSE,I just want to take a moment to say how wonderful Alex Martinez has been to me while staying at the Innside almost weekly through some of this pandemic.,"He goes above and beyond for the customers and if you see him, please make sure to give him a big smile, he's got a fabulous one to that is always being shown! Thank you for hiring such upbeat, personable hospitable staff to manage your locations!",,"Thank you for hiring such upbeat, personable hospitable staff to manage your locations!",,"Sweet as can be, makes sure I have water and a wake up time, even when i forget to ask. Highly recommend this hotel and the fabulous Alex. !"
2,"I go to NYC a lot, and this is hands down the best hotel I've stayed at. Robert and his whole team are excellent. Very clean hotel and the service is outstanding. Location is as good as it gets. Every time you stay there, it makes you think about moving to NYC. Highly recommend staying here anytime you're in New York.","I go NYC lot, hand best hotel I've stayed. Robert Robert whole team excellent. Very clean hotel service outstanding. Location good get. Every time stay, make think moving NYC. Highly recommend staying anytime're New York.",5,"I go to NYC a lot, and this is hands down the best hotel I've stayed at. Robert and his whole team are excellent. Very clean hotel and the service is outstanding. Location is as good as it gets. Every time you stay there, it makes you think about moving to NYC. Highly recommend staying here anytime you're in New York. ",FALSE,"I go to NYC a lot, and this is hands down the best hotel I've stayed at. Every time you stay there, it makes you think about moving to NYC. Highly recommend staying here anytime you're in New York.",Location is as good as it gets.,"I go to NYC a lot, and this is hands down the best hotel I've stayed at. Very clean hotel and the service is outstanding.",Very clean hotel and the service is outstanding.,,Robert and his whole team are excellent.
3,"I don't usually write reviews, but because of the amazing hospitality we experienced at the Innside NY, a review is definitely warranted! We've stayed at the Innside NY many times and have always had a good experience. On this visit we came to NY due to an emergency. The staff at the Innside NY was so helpful, understanding, empathetic and accommodating, they made our very difficult emergency situation much easier. Zack, Maggie, Cassie, Alexander and Akhlima were all absolutely fabulous! Each of them went above and beyond so that we were able to focus on our emergency situation and not worry about the logistics of our stay. Zack even loaned us his own personal phone charger for the evening. Seeing first hand how caring and hospitable the staff has been at the Innside, I would  not hesitate to recommend the Innside NY, and it will always be our first choice of where to stay when we come to Manhattan.â€¦","I n't usually write review, amazing hospitality experienced Innside NY, review definitely warranted!'ve stayed Innside NY many time always good experience. On visit came Innside NY due emergency. The staff Innside NY wa helpful, understanding, empathetic accommodating, empathetic accommodating made difficult emergency situation much easier. Zack absolutely fabulous! Each Zack went beyond able focus emergency situation worry logistics stay. Zack even loaned Zack personal phone charger evening. Seeing first hand caring hospitable The staff Innside NY ha Innside, I would hesitate recommend Innside NY, Innside NY always first choice stay come Manhattan. â€¦",5,"I don't usually write reviews, but because of the amazing hospitality we experienced at the Innside NY, a review is definitely warranted! We've stayed at the Innside NY many times and have always had a good experience. On this visit we came to NY due to an emergency. The staff at the Innside NY was so helpful, understanding, empathetic and accommodating, they made our very difficult emergency situation much easier. Zack, Maggie, Cassie, Alexander and Akhlima were all absolutely fabulous! Each of them went above and beyond so that we were able to focus on our emergency situation and not worry about the logistics of our stay. Zack even loaned us his own personal phone charger for the evening. Seeing first hand how caring and hospitable the staff has been at the Innside, I would  not hesitate to recommend the Innside NY, and it will always be our first choice of where to stay when we come to Manhattan. â€¦",FALSE,"We've stayed at the Innside NY many times and have always had a good experience. Each of them went above and beyond so that we were able to focus on our emergency situation and not worry about the logistics of our stay. Seeing first hand how caring and hospitable the staff has been at the Innside, I would  not hesitate to recommend the Innside NY, and it will always be our first choice of where to stay when we come to Manhattan.","Seeing first hand how caring and hospitable the staff has been at the Innside, I would  not hesitate to recommend the Innside NY, and it will always be our first choice of where to stay when we come to Manhattan.",,"The staff at the Innside NY was so helpful, understanding, empathetic and accommodating, they made our very difficult emergency situation much easier. Seeing first hand how caring and hospitable the staff has been at the Innside, I would  not hesitate to recommend the Innside NY, and it will always be our first choice of where to stay when we come to Manhattan.",,"I don't usually write reviews, but because of the amazing hospitality we experienced at the Innside NY, a review is definitely warranted! On this visit we came to NY due to an emergency. Zack, Maggie, Cassie, Alexander and Akhlima were all absolutely fabulous! Zack even loaned us his own personal phone charger for the evening. â€¦"
4,"I've stayed here on numerous occasions before the pandemic, and always noted the incredible friendliness and attention to service of all employees there. This past week I was there for six nights with a friend, and did not tire of this lovely place, not even for a moment. These folks are the loveliest, and take very seriously their job of ensuring that you have a great stay.","I've stayed numerous occasion pandemic, always noted incredible friendliness attention service employee. This past week I wa six night friend, tire lovely place, even moment. These folk loveliest, take seriously These folk job ensuring great stay.",5,"I've stayed here on numerous occasions before the pandemic, and always noted the incredible friendliness and attention to service of all employees there. This past week I was there for six nights with a friend, and did not tire of this lovely place, not even for a moment. These folks are the loveliest, and take very seriously their job of ensuring that you have a great stay. ",FALSE,"I've stayed here on numerous occasions before the pandemic, and always noted the incredible friendliness and attention to service of all employees there. These folks are the loveliest, and take very seriously their job of ensuring that you have a great stay.",,"These folks are the loveliest, and take very seriously their job of ensuring that you have a great stay.","I've stayed here on numerous occasions before the pandemic, and always noted the incredible friendliness and attention to service of all employees there.",,"This past week I was there for six nights with a friend, and did not tire of this lovely place, not even for a moment."
5,"I am a native (and opinionated!) Manhattanite, I stayed here with an out-of-town friend for six nights this past week, I cannot say enough about the wonderful staff there, particularly the Front Desk folks who make everyone feel welcome from the moment you enter for the first time.  Christina, All, Robert and an extra-special shout-out to Destiny, who was born to be in the Hospitality world.","I native( opinionated!) Manhattanite, I stayed out-of-town friend six night past week, I say enough wonderful staff, particularly Front Desk folk make everyone feel welcome moment enter first time. Christina, All, Robert extra-special shout-out Destiny, wa born Hospitality world.",5,"I am a native (and opinionated!) Manhattanite, I stayed here with an out-of-town friend for six nights this past week, I cannot say enough about the wonderful staff there, particularly the Front Desk folks who make everyone feel welcome from the moment you enter for the first time. Christina, All, Robert and an extra-special shout-out to Destiny, who was born to be in the Hospitality world. ",FALSE,"Manhattanite, I stayed here with an out-of-town friend for six nights this past week, I cannot say enough about the wonderful staff there, particularly the Front Desk folks who make everyone feel welcome from the moment you enter for the first time.",,,"Manhattanite, I stayed here with an out-of-town friend for six nights this past week, I cannot say enough about the wonderful staff there, particularly the Front Desk folks who make everyone feel welcome from the moment you enter for the first time.",,"I am a native (and opinionated!) Christina, All, Robert and an extra-special shout-out to Destiny, who was born to be in the Hospitality world."
7,"Spent a Saturday night in city to join friends for a special dinner. The Innside was perfect in every way. The room, the staff, the location, the gym could not have been better. The downstairs restaurant(The Wilson) was quite popular with Saturday evening  and Sunday morning","Spent Saturday night city join friend special dinner. The Innside wa perfect every way. The room, staff, location, gym could better. The downstairs restaurant( The Wilson) wa quite popular Saturday evening Sunday morning",5,"Spent a Saturday night in city to join friends for a special dinner. The Innside was perfect in every way. The room, the staff, the location, the gym could not have been better. The downstairs restaurant(The Wilson) was quite popular with Saturday evening  and Sunday morning",FALSE,"The Innside was perfect in every way. The room, the staff, the location, the gym could not have been better.","The room, the staff, the location, the gym could not have been better.",,"The room, the staff, the location, the gym could not have been better. The downstairs restaurant(The Wilson) was quite popular with Saturday evening  and Sunday morning",,Spent a Saturday night in city to join friends for a special dinner.
8,"staff are super friendly and very accommodating  most especially ALEX.he made us feel very important guest in the house, the rooms are so clean when we arrive and sanitize that's why we feel very safe,ambieance and the smell of the whole hotel makes me feel at home.","staff super friendly accommodating especially ALEX. ALEX made u feel important guest house, room clean u arrive sanitize's u feel safe, ambieance smell whole hotel make feel home.",5,"staff are super friendly and very accommodating  most especially ALEX. he made us feel very important guest in the house, the rooms are so clean when we arrive and sanitize that's why we feel very safe,ambieance and the smell of the whole hotel makes me feel at home. ",FALSE,"he made us feel very important guest in the house, the rooms are so clean when we arrive and sanitize that's why we feel very safe,ambieance and the smell of the whole hotel makes me feel at home.",,"he made us feel very important guest in the house, the rooms are so clean when we arrive and sanitize that's why we feel very safe,ambieance and the smell of the whole hotel makes me feel at home.",staff are super friendly and very accommodating  most especially ALEX.,,
9,"This hotel was good value, centrally located and the bedroom was large compared to other places I have stayed. The service was good, hotel was nice and clean There is no real room service / it doesn't really work","This hotel wa good value, centrally located bedroom wa large compared place I stayed. The service wa good, hotel wa nice clean There real room service/ doe n't really work",4,"This hotel was good value, centrally located and the bedroom was large compared to other places I have stayed. The service was good, hotel was nice and clean There is no real room service / it doesn't really work",FALSE,"This hotel was good value, centrally located and the bedroom was large compared to other places I have stayed. The service was good, hotel was nice and clean There is no real room service / it doesn't really work",,"The service was good, hotel was nice and clean There is no real room service / it doesn't really work","The service was good, hotel was nice and clean There is no real room service / it doesn't really work","This hotel was good value, centrally located and the bedroom was large compared to other places I have stayed.",
10,"Good week in New York, good price for the location and size of the room. Donâ€™t bother upgrading for a city view room as youâ€™ll just see the buildings over the street. The location was good for all major attractions and subway, the free Wi-Fi was good and you get complimentary use of the nespresso machine which was good. The room could do with updating but by no means in a bad standard.","Good week New York, good price location size room. Don â€™ bother upgrading city view room â€™ see building street. The location wa good major attraction subway, free Wi-Fi wa good get complimentary use nespresso machine wa good. city view room could updating mean bad standard.",4,"Good week in New York, good price for the location and size of the room. Donâ€™t bother upgrading for a city view room as youâ€™ll just see the buildings over the street. The location was good for all major attractions and subway, the free Wi-Fi was good and you get complimentary use of the nespresso machine which was good. The room could do with updating but by no means in a bad standard. ",FALSE,"Good week in New York, good price for the location and size of the room. Donâ€™t bother upgrading for a city view room as youâ€™ll just see the buildings over the street. The room could do with updating but by no means in a bad standard.","Good week in New York, good price for the location and size of the room. Donâ€™t bother upgrading for a city view room as youâ€™ll just see the buildings over the street. The location was good for all major attractions and subway, the free Wi-Fi was good and you get complimentary use of the nespresso machine which was good. The room could do with updating but by no means in a bad standard.",,,"Good week in New York, good price for the location and size of the room.",
